"Allowed Methods","Allowed Methods"
"An unexpected error occurred while creating shipment. Check logs for details.","An unexpected error occurred while creating shipment. Check logs for details."
"An unexpected error occurred while processing this shipment request. Check logs for more details.","An unexpected error occurred while processing this shipment request. Check logs for more details."
"API Mode","API Mode"
Change,Change
Choose,Choose
"Choose locker","Choose locker"
"Courier Standard","Courier Standard"
"Courier Standard Price","Courier Standard Price"
Enabled,Enabled
Locker,Locker
"Locker Standard","Locker Standard"
"Locker Standard Price","Locker Standard Price"
Production,Production
"Production Auth Token","Production Auth Token"
"Production Organization ID","Production Organization ID"
Sandbox,Sandbox
"Sandbox Auth Token","Sandbox Auth Token"
"Sandbox Organization ID","Sandbox Organization ID"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Shipment was created, but it did not reach created status. Please try again.","Shipment was created, but it did not reach created status. Please try again."
"Shipment was successfully created but an unexpected error occurred while downloading shipment label. Check logs for details.","Shipment was successfully created but an unexpected error occurred while downloading shipment label. Check logs for details."
"Shipping details","Shipping details"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Sort Order","Sort Order"
Title,Title
"This shipment request cannot be processed.","This shipment request cannot be processed."
"You need to choose a locker.","You need to choose a locker."
